ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
HUN,"Hungary",11,8419800.09414673,33.6284757802974,43.4239294084708,-2.0624206128604,-2.97639257664825,1
UKR,"Ukraine",82,43970935.0594321,26.9188838244574,33.5188773166714,-2.09360226676666,-3.12588021525922,0.524390243902439
COL,"Colombia",108,49337260.9277645,22.8588221786896,25.3469997427213,-2.15190476874199,-2.27630735543147,0.972222222222222
SUR,"Suriname",14,625169.039109178,21.8167123591609,23.8444285880822,-2.2263586543436,-2.75983723015871,1
GUF,"French Guiana",9,319443.020164132,21.7035152251133,23.6613604926852,-2.22684297706161,-2.55282220607283,1
PAN,"Panama",16,3656600.40980391,25.4514664567593,27.7079553508054,-2.33626747702055,-2.43628606374093,1
NIC,"Nicaragua",15,6589807.13920116,24.95030731339,27.756744797156,-2.89606313795607,-2.99656562420395,1
BIH,"Bosnia and Herzegovina",5,2928577.90989113,34.8083318743742,43.8021700868625,-3.17546722818054,-3.16520467449553,1
SRB,"Serbia",10,8224361.60732269,30.0460323998956,39.419465044669,-3.49769549783214,-3.92114727308448,0.7
CRI,"Costa Rica",9,5267921.3634963,22.2966980326227,24.4878514105907,-3.61150477333321,-3.8851865613747,1
